DEST,MSNAME,N_RETURNEES
Afghanistan,Austria,429
Afghanistan,Belgium,5
Afghanistan,Bulgaria,30
Afghanistan,Denmark,19
Afghanistan,Finland,67
Afghanistan,France,1
Afghanistan,Germany,1104
Afghanistan,Greece,11
Afghanistan,Hungary,43
Afghanistan,Luxembourg,1
Afghanistan,Romania,36
Afghanistan,Slovakia,1
Afghanistan,Slovenia,2
Afghanistan,Sweden,444
Albania,Austria,196.5
Albania,Belgium,749
Albania,Bulgaria,1.5
Albania,Denmark,1
Albania,Estonia,0.5
Albania,Finland,86
Albania,France,5982.5
Albania,Germany,9135.5
Albania,Greece,9
Albania,Hungary,23
Albania,Iceland,323.5
Albania,Ireland,34
Albania,Italy,63
Albania,Lithuania,3
Albania,Luxembourg,64.5
Albania,Netherlands,190.5
Albania,Norway,2.5
Albania,Poland,4.5
Albania,Portugal,1
Albania,Slovakia,1
Albania,Spain,559
Albania,Sweden,453.5
Albania,The Netherlands,9
Albania,United Kingdom,147
Angola,Switzerland,2
Armenia,Austria,209.5
Armenia,Belgium,21.5
Armenia,Bulgaria,2.5
Armenia,Finland,4
Armenia,France,24.5
Armenia,Frontex,1
Armenia,Germany,976.5
Armenia,Greece,17
Armenia,Hungary,9
Armenia,Iceland,1.5
Armenia,Ireland,3.5
Armenia,Italy,5
Armenia,Lithuania,4
Armenia,Netherlands,7
Armenia,Poland,18.5
Armenia,Romania,0.5
Armenia,Spain,46.5
Armenia,Sweden,68
Armenia,Switzerland,12.5
Azerbaijan,Austria,8
Azerbaijan,Belgium,4
Azerbaijan,Germany,389
Azerbaijan,Switzerland,1
Bangladesh,Austria,21
Bangladesh,France,1
Bangladesh,Germany,285
Bangladesh,Greece,19
Bangladesh,Iceland,1
Bangladesh,Italy,1
Bangladesh,Latvia,5
Bangladesh,Malta,2
Bangladesh,Romania,1
Bangladesh,Spain,62
Bangladesh,Switzerland,1
Belarus,Germany,3
Benin,Germany,7
Benin,Switzerland,1.5
Bosnia and Herzegovina,Belgium,6
Bosnia and Herzegovina,Finland,2
Bosnia and Herzegovina,France,5
Bosnia and Herzegovina,Germany,609.5
Bosnia and Herzegovina,Hungary,0.5
Bosnia and Herzegovina,Luxembourg,25
Bosnia and Herzegovina,Spain,2
Bosnia and Herzegovina,Sweden,24
Burkina Faso,Germany,3
Cameroon,Austria,3.5
Cameroon,Belgium,5
Cameroon,France,12.5
Cameroon,Germany,24
