DEST,MSNAME,N_RETURNEES
Albania,Germany,9046.5
Tunisia,Germany,1074
Kosovo,Germany,6299
Nigeria,Germany,1091.5
Serbia,Germany,6809.5
Georgia,Germany,3846.5
Pakistan,Germany,1390
Macedonia,Germany,2367.5
Afghanistan,Germany,1104
Moldova,Germany,2053.5
Colombia,Germany,1.5
Armenia,Germany,981
Russia,Germany,831
North Macedonia,Germany,844.5
Ecuador,Germany,0.5
Albania,Italy,63
Tunisia,Italy,8450
Kosovo,Italy,1
Nigeria,Italy,1977.5
Serbia,Italy,3
Georgia,Italy,108
Pakistan,Italy,25
Colombia,Italy,15.5
Armenia,Italy,5
Ecuador,Italy,17.5
Albania,France,5981
Kosovo,France,152.5
Nigeria,France,115
Serbia,France,22.5
Georgia,France,407.5
Pakistan,France,51
Macedonia,France,2.5
Afghanistan,France,1
Moldova,France,4.5
Colombia,France,14.5
Armenia,France,24.5
Ecuador,France,12.5
Albania,Spain,536.5
Nigeria,Spain,529
Serbia,Spain,14.5
Georgia,Spain,660
Pakistan,Spain,191
Macedonia,Spain,3
Moldova,Spain,3.5
Colombia,Spain,1872
Armenia,Spain,46.5
Ecuador,Spain,832.5
Albania,Austria,198
Kosovo,Austria,1072
Nigeria,Austria,1008
Serbia,Austria,63
Georgia,Austria,509.5
Pakistan,Austria,221
Macedonia,Austria,38
Afghanistan,Austria,429
Armenia,Austria,220
Russia,Austria,218
North Macedonia,Austria,19
Albania,Sweden,451
Kosovo,Sweden,294.5
Nigeria,Sweden,142.5
Serbia,Sweden,321
Georgia,Sweden,163.5
Pakistan,Sweden,53
Macedonia,Sweden,64
Afghanistan,Sweden,444
Moldova,Sweden,5.5
Colombia,Sweden,2.5
Armenia,Sweden,69
Russia,Sweden,6
North Macedonia,Sweden,1
Albania,Belgium,749.5
Kosovo,Belgium,32.5
Nigeria,Belgium,80
Serbia,Belgium,42
Georgia,Belgium,27.5
Pakistan,Belgium,30
Macedonia,Belgium,9
Afghanistan,Belgium,5
Armenia,Belgium,21.5
Russia,Belgium,5
Albania,Greece,9
Nigeria,Greece,183.5
Serbia,Greece,11
Georgia,Greece,238
Pakistan,Greece,698
Afghanistan,Greece,11
Colombia,Greece,2.5
Armenia,Greece,23
Albania,Hungary,23
Kosovo,Hungary,766.5
Nigeria,Hungary,96.5
Georgia,Hungary,16.5
Pakistan,Hungary,78
Macedonia,Hungary,0.5
Afghanistan,Hungary,43
Colombia,Hungary,1.5
Armenia,Hungary,9
Russia,Hungary,1
Albania,Norway,2.5
Kosovo,Norway,77
Nigeria,Norway,482
Serbia,Norway,7
Georgia,Norway,8.5
Pakistan,Norway,22
Russia,Norway,1
Albania,Ireland,34
Nigeria,Ireland,531.5
Serbia,Ireland,5
Georgia,Ireland,39.5
Pakistan,Ireland,55
Armenia,Ireland,3.5
Albania,United Kingdom,147
Kosovo,United Kingdom,20
Nigeria,United Kingdom,434.5
Georgia,United Kingdom,2
Pakistan,United Kingdom,43
Albania,Iceland,323.5
Kosovo,Iceland,13.5
Nigeria,Iceland,4
Serbia,Iceland,21.5
Georgia,Iceland,87
Macedonia,Iceland,240
Armenia,Iceland,1.5
North Macedonia,Iceland,7
Nigeria,Switzerland,235.5
Georgia,Switzerland,83.5
Pakistan,Switzerland,24.5
Moldova,Switzerland,5
Colombia,Switzerland,7
Armenia,Switzerland,13
Russia,Switzerland,19
Albania,Netherlands,199.5
Kosovo,Netherlands,4
Nigeria,Netherlands,239
Serbia,Netherlands,9.5
Georgia,Netherlands,4
Pakistan,Netherlands,8
Colombia,Netherlands,3
Armenia,Netherlands,7
Ecuador,Netherlands,3
